Tumor	Clone13	Clone12	Clone11	Clone10	Clone15	Clone14	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
R1	0.04	0.06	0.11	0.1	0	0.01	0.01	0.06	0.29	0.13	0.14	0.01	0	0.01	0.03
R2	0.17	0.04	0.08	0	0.05	0	0.04	0.19	0.36	0	0.01	0.01	0.03	0	0.02
R3	0.03	0	0.02	0	0.02	0.01	0.06	0.13	0.05	0	0.07	0.26	0.16	0.05	0.14
R4	0.01	0.01	0.01	0.01	0	0	0.02	0.02	0.18	0.21	0.3	0.03	0.05	0.06	0.09
R5	0.23	0.23	0.06	0.13	0.01	0.12	0.04	0.03	0.12	0	0	0	0	0.01	0.02
R6	0.11	0.04	0	0.01	0.1	0.12	0.04	0.05	0.1	0.01	0	0.28	0.04	0.06	0.04
R7	0.15	0	0.31	0.07	0.01	0	0	0.16	0.16	0.03	0.01	0	0.03	0.03	0.04
R8	0.01	0.08	0.01	0	0.03	0.21	0.27	0.05	0.12	0.04	0.07	0.03	0.02	0	0.06
