Tumor	Clone13	Clone12	Clone11	Clone10	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
R1	0	0.01	0.04	0.01	0.2	0.2	0.12	0.07	0.05	0.21	0.05	0.02	0.02
R2	0.15	0.02	0.08	0.08	0	0.1	0	0	0.01	0	0.29	0.14	0.13
R3	0.25	0	0.03	0.16	0	0.05	0	0.03	0	0.02	0.26	0.07	0.13
R4	0	0	0	0.01	0.01	0.03	0.18	0.24	0.26	0.03	0.05	0.08	0.11
R5	0.01	0.02	0.12	0.24	0.03	0.05	0.01	0.01	0	0.06	0.28	0.06	0.11
R6	0	0.33	0.19	0.01	0.16	0.01	0.04	0.01	0	0.16	0.01	0.06	0.02
R7	0	0.05	0	0	0.18	0.12	0.18	0.01	0.05	0.2	0.02	0.15	0.04
R8	0	0.03	0	0.01	0.02	0.05	0.09	0.04	0.23	0.03	0.06	0.25	0.19
