True clone	Inf clone	GE	Annotation
#Clone1	#TOR4	0	Initial
#Clone2	#TOR4	6	Initial
#Clone3	#TOR21	8	Initial
#Clone4	#TOR21	8	Initial
#Clone5	#TOR21	9	Initial
#Clone6	#TOR4	12	Initial
#Clone7	#TOR5	0	Initial
#Clone8	#TOR21	4	Initial
#Clone9	#TOR21	1	Initial
#Clone10	#TOR21	8	Initial
#Clone11	#TOR6	0	Initial
#Clone12	#TOR21	12	Initial
#Clone13	#TOR6	10	Initial
#Clone14	#TOR6	1	Initial
#Clone15	#TOR6	8	Initial
#Clone16	#TOR6	9	Initial
#Clone17	#TOR71	0	Initial
#Clone18	#TOR7	6	Initial
#Clone19	#TOR7	0	Initial
#Clone20	#TOR31	1	Initial
#Clone21	#TOR4	5	Initial
#Clone22	#TOR1	1	Initial
#Clone23	#TOR12	2	Initial
#Clone24	#TOR31	2	Initial
#Clone25	#TOR1	3	Initial
#Clone26	#TOR1	7	Initial
#Clone27	#TOR1	5	Initial
#Clone28	#TOR2	2	Initial
#Clone29	#TOR3	6	Initial
#Clone30	#TOR31	6	Initial
#Clone31	#TOR3	7	Initial
#Clone32	#TOR21	2	Initial
#Clone33	#TOR8	0	Initial
#Clone34	#TOR7	1	Initial
#Clone35	#TOR7	5	Initial
#Clone36	#TOR7	7	Initial
#Clone37	#TOR7	3	Initial
