True clone	Inf clone	GE	Annotation
#Clone1	#TOR4	8	Initial
#Clone2	#TOR3	10	Initial
#Clone3	#TOR3	8	Initial
#Clone4	#TOR3	11	Initial
#Clone5	#TOR7	17	Initial
#Clone6	#TOR5	3	Initial
#Clone7	#TOR5	4	Initial
#Clone8	#TOR5	14	Initial
#Clone9	#TOR5	5	Initial
#Clone10	#TOR5	7	Initial
#Clone11	#TOR5	8	Initial
#Clone12	#TOR3	7	Initial
#Clone13	#TOR5	12	Initial
#Clone14	#TOR6	5	Initial
#Clone15	#TOR7	12	Initial
#Clone16	#TOR7	12	Initial
#Clone17	#TOR6	7	Initial
#Clone18	#TOR6	8	Initial
#Clone19	#TOR6	6	Initial
#Clone20	#TOR7	5	Initial
#Clone21	#TOR7	6	Initial
#Clone22	#TOR7	8	Initial
#Clone23	#TOR7	13	Initial
#Clone24	#TOR7	9	Initial
#Clone25	#TOR7	12	Initial
#Clone26	#TOR1	7	Initial
#Clone27	#TOR4	14	Initial
#Clone28	#TOR1	13	Initial
#Clone29	#TOR2	5	Initial
#Clone30	#TOR8	13	Initial
#Clone31	#TOR2	10	Initial
#Clone32	#TOR3	5	Initial
#Clone33	#TOR7	13	Initial
#Clone34	#TOR8	10	Initial
#Clone35	#TOR8	2	Initial
#Clone36	#TOR7	11	Initial
#Clone37	#TOR7	11	Initial
#Clone38	#TOR7	13	Initial
#Clone39	#TOR8	8	Initial
