True clone	Inf clone	GE	Annotation
#Clo30	#Clo32	6	Initial
#Clo28	#Clo32	6	Initial
#Clo48Clo44	#Clo41	6	Initial
#Clo19	#Clo19	6	Initial
#Clo35	#Clo33	7	Initial
#Clo24	#Clo22	7	Initial
#Clo25	#Clo27	6	Initial
#Clo27	#Clo27	7	Initial
#Clo21Clo47	#Clo14	6	Initial
#Clo22	#Clo22	6	Initial
#Clo49	#Clo14	6	Initial
#Clo45	#Clo15	6	Initial
#Clo41	#Clo41	8	Initial
#Clo38	#Clo36	6	Initial
#Clo32	#Clo32	6	Initial
#Clo39	#Clo39	7	Initial
#Clo12	#Clo14	9	Initial
#Clo15	#Clo15	9	Initial
#Clo14	#Clo14	9	Initial
#Clo16	#Clo18	6	Initial
#Clo55	#Clo55	6	Initial
#Clo51	#Clo51	6	Initial
#Clo36	#Clo36	6	Initial
#Clo53	#Clo53	6	Initial
#Clo33	#Clo33	6	Initial
#Clo18	#Clo18	6	Initial
