True clone	Inf clone	GE	Annotation
#Clo50	#Clo52	6	Initial
#Clo35	#Clo37	6	Initial
#Clo24	#Clo26	6	Initial
#Clo26	#Clo26	7	Initial
#Clo21	#Clo19	7	Initial
#Clo48	#Clo48	6	Initial
#Clo23	#Clo17	7	Initial
#Clo44	#Clo40	6	Initial
#Clo42	#Clo40	6	Initial
#Clo40	#Clo40	6	Initial
#Clo41	#Clo17	6	Initial
#Clo28	#Clo30	7	Initial
#Clo13	#Clo52	23	Initial
#Clo11	#Clo52	24	Initial
#Clo10	#Clo37	8	Initial
#Clo15	#Clo17	10	Initial
#Clo14	#Clo37	6	Initial
#Clo17	#Clo17	9	Initial
#Clo33	#Clo37	6	Initial
#Clo32	#Clo30	8	Initial
#Clo30	#Clo30	7	Initial
#Clo37	#Clo37	6	Initial
#Clo52	#Clo52	6	Initial
#Clo19	#Clo19	7	Initial
#Clo18	#Clo18	9	Initial
