Tumor	Clone28	Clone29	Clone22	Clone23	Clone20	Clone21	Clone26	Clone27	Clone24	Clone25	Clone36	Clone13	Clone12	Clone11	Clone10	Clone17	Clone16	Clone15	Clone14	Clone35	Clone34	Clone19	Clone18	Clone31	Clone30	Clone33	Clone32	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
R1	0	0	0	0.68	0	0	0	0	0.24	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R2	0.01	0	0	0	0	0	0.24	0.21	0	0.41	0	0	0	0	0.02	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R3	0	0.46	0	0	0	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0
R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.35	0.42	0	0.02	0.04	0.05
R5	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.02	0.11	0	0	0	0.01	0	0	0	0	0	0	0	0	0.11	0.3	0	0	0	0.43	0	0	0
R6	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.1	0.14	0.64	0	0	0	0.03	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0
R7	0	0	0.32	0	0	0.58	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.17	0.03	0.03	0	0	0.12	0.42	0.04	0.09	0	0	0	0	0	0	0.08	0	0
