True clone	Inf clone	GE	Annotation
#Clo28	#Clo30	0	Initial
#Clo24	#Clo21	1	Initial
#Clo25	#Clo32	0	Initial
#Clo27	#Clo32	1	Initial
#Clo21	#Clo10	0	Initial
#Clo22	#Clo21	0	Initial
#Clo46	#Clo34	2	Initial
#Clo29	#Clo26	1	Initial
#Clo13	#Clo28	0	Initial
#Clo38	#Clo6	1	Initial
#Clo10	#Clo12	0	Initial
#Clo39	#Clo15	1	Initial
#Clo12	#Clo12	1	Initial
#Clo14	#Clo15	1	Initial
#Clo16	#Clo19	1	Initial
#Clo19	#Clo8	0	Initial
#Clo31	#Clo4	0	Initial
#Clo36	#Clo2	0	Initial
#Clo34	#Clo0	0	Initial
#Clo18	#Clo19	2	Initial
