True clone	Inf clone	GE	Annotation
#Clo50	#Clo2	1	Initial
#Clo35	#Clo13	1	Initial
#Clo24	#Clo29	0	Initial
#Clo26	#Clo29	1	Initial
#Clo21	#Clo4	1	Initial
#Clo48	#Clo32	0	Initial
#Clo23	#Clo22	1	Initial
#Clo44	#Clo8	0	Initial
#Clo42	#Clo8	1	Initial
#Clo40	#Clo16	0	Initial
#Clo41	#Clo22	0	Initial
#Clo28	#Clo25	1	Initial
#Clo13	#Clo0	3	Initial
#Clo11	#Clo0	2	Initial
#Clo10	#Clo13	2	Initial
#Clo15	#Clo20	3	Initial
#Clo14	#Clo13	0	Initial
#Clo17	#Clo20	2	Initial
#Clo33	#Clo10	1	Initial
#Clo32	#Clo27	0	Initial
#Clo30	#Clo25	1	Initial
#Clo37	#Clo13	1	Initial
#Clo52	#Clo34	0	Initial
#Clo19	#Clo4	1	Initial
#Clo18	#Clo6	3	Initial
