Tumor	Clone13	Clone12	Clone11	Clone10	Clone17	Clone16	Clone15	Clone14	Clone19	Clone18	Clone9	Clone8	Clone20	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
R1	0	0	0	0	0.1	0.24	0.5	0	0	0.02	0	0	0	0	0	0	0	0.1	0.04	0
R2	0	0	0	0	0.15	0	0	0	0.13	0	0.55	0.04	0	0.13	0	0	0	0	0	0
R3	0	0	0	0.04	0	0.01	0	0.44	0.02	0.28	0	0.16	0	0	0	0	0.01	0.04	0	0
R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.27	0.42	0	0.02	0.02	0.09
R5	0	0	0	0.02	0	0	0	0	0	0	0.05	0.08	0	0.13	0	0	0.47	0.24	0.01	0
R6	0	0.06	0.4	0.2	0	0	0	0	0	0	0	0.29	0	0	0	0	0.05	0	0	0
R7	0.55	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.16	0	0	0.22	0.02	0
R8	0	0.45	0.07	0.02	0.14	0.18	0	0	0.02	0	0	0	0.12	0	0	0	0	0	0	0
