Tumor	Clone22	Clone23	Clone20	Clone21	Clone24	Clone25	Clone13	Clone12	Clone11	Clone10	Clone17	Clone16	Clone15	Clone14	Clone19	Clone18	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
R1	0.15	0.15	0	0.01	0.13	0	0	0	0	0.14	0	0.31	0	0	0	0.02	0	0	0	0.02	0	0	0.07	0	0
R2	0.04	0	0	0	0	0.01	0	0	0.01	0	0	0.1	0.02	0	0.49	0.15	0	0.01	0.03	0	0.14	0	0	0	0
R3	0	0	0.03	0.01	0	0	0.25	0.12	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0.04	0	0	0.2
R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0.16	0.24	0.29	0.04	0.05	0.05	0.14
R5	0	0	0	0	0	0	0.05	0.06	0.14	0.39	0	0	0	0.01	0	0	0	0	0	0.15	0	0	0.19	0.01	0
R6	0	0	0.02	0.01	0	0	0	0	0	0	0.06	0.09	0.7	0	0.03	0.05	0	0	0	0	0	0	0	0	0.04
R7	0	0	0	0	0	0	0.15	0.36	0	0	0	0	0	0.1	0	0	0	0	0	0.19	0	0.05	0.01	0	0.14
R8	0.04	0.04	0	0	0.68	0	0.05	0.17	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0
