Tumor	Clone22	Clone20	Clone21	Clone13	Clone12	Clone11	Clone10	Clone17	Clone16	Clone15	Clone14	Clone19	Clone18	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
R1	0	0	0	0	0	0	0	0	0.48	0.21	0	0	0	0	0	0.2	0	0.07	0	0	0	0.04
R2	0	0.05	0	0.06	0	0	0	0.01	0	0	0	0.13	0.46	0	0	0.2	0.08	0.01	0	0	0	0
R3	0.01	0	0.01	0	0	0.18	0.01	0.37	0	0	0	0.4	0	0	0	0	0.02	0	0	0	0	0
R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.24	0.41	0	0	0.08	0.12
R5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.49	0	0	0.08	0.39	0.01	0.01
R6	0	0	0	0.01	0.01	0.09	0.17	0	0	0	0	0	0	0.45	0	0	0.15	0	0	0.12	0	0
R7	0	0	0	0	0	0.03	0	0.05	0.05	0.13	0.22	0	0	0	0.28	0	0	0	0	0	0	0.24
R8	0.28	0.07	0	0	0.43	0.17	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0
